BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1H--1SDb3D--,3H,ASK distrib
1H--1SDb3D--3H--,3N,3-4-4-2
1H--1SDb3D--3H--,3S,2-4-4-3
1H--1SDb3D--,3N,Signoff
1H--1SDb,3H,10-12HcP; 2-4-2-5
1H--1SDb,3S,10-12HcP; 2-4-5-2
1H--1S--,1N,8-9HcP; 3!H or 3-4-3-3
1H--1S--1N--,2C,ASK distrib
1H--1S--1N--2C--,2D,A 5card minor
1H--1S--1N--2C--2D--,2H,ASK 5card minor suit
1H--1S--1N--2C--2D--2H--,2N,5!D
1H--1S--1N--2C--2D--2H--2N--,3C,ASK distrib
1H--1S--1N--2C--2D--2H--2N--3C--,3D,3-3-5-2
1H--1S--1N--2C--2D--2H--2N--3C--,3H,2-3-5-3
1H--1S--1N--2C--2D--2H--2N--,3D,Signoff
1H--1S--1N--2C--2D--2H--2N--,3H,Signoff
1H--1S--1N--2C--2D--2H--2N--,3N,Signoff
1H--1S--1N--2C--2D--2H--2N--,--,To play
1H--1S--1N--2C--2D--2H--,2S,5!C
1H--1S--1N--2C--2D--2H--2S--,2N,Signoff
1H--1S--1N--2C--2D--2H--2S--,3C,Signoff
1H--1S--1N--2C--2D--2H--2S--,3D,ASK distrib
1H--1S--1N--2C--2D--2H--2S--3D--,3H,3-3-2-5
1H--1S--1N--2C--2D--2H--2S--3D--,3S,2-3-3-5
1H--1S--1N--2C--2D--2H--2S--,3N,Signoff
1H--1S--1N--2C--,2H,3!H; 3-3-3-4 or 3-3-4-3
1H--1S--1N--2C--2H--,2S,ASK 4card minor suit
1H--1S--1N--2C--2H--2S--,2N,4!C; 3-3-3-4
1H--1S--1N--2C--2H--2S--,3C,4!D; 3-3-4-3
1H--1S--1N--2C--,2N,4!H; 3-4-3-3
1H--1S--1N--2C--,2S,3!H; 2-3-4-4
1H--1S--1N--,--,To play
1H--1S--,2C,8-9HcP; 4!H + 4-5!C
1H--1S--2C--,2D,ASK distrib
1H--1S--2C--2D--,2H,2-4-3-4
1H--1S--2C--2D--,2N,2-4-2-5
1H--1S--2C--2D--,2S,3-4-2-4
1H--1S--,2D,8-9HcP; 4!H + 4-5!D
1H--1S--2D--,2H,ASK distrib
1H--1S--2D--2H--,2N,3-4-4-2
1H--1S--2D--2H--,2S,2-4-4-3
1H--1S--2D--2H--,3C,2-4-5-2
1H--1S--,2H,8-9HcP; 4!H + 4!S
1H--1S--2H--,2S,ASK distrib
1H--1S--2H--2S--,2N,4-4-2-3
1H--1S--2H--2S--,3C,4-4-3-2
1H--1S--,2N,10-12HcP; 3!H or 3-4-3-3
1H--1S--2N--,3C,ASK distrib
1H--1S--2N--3C--,3D,A 5card minor
1H--1S--2N--3C--3D--,3H,ASK 5card minor suit
1H--1S--2N--3C--3D--3H--,3N,5!D
1H--1S--2N--3C--3D--3H--,3S,5!C
1H--1S--2N--3C--,3H,3-3-3-4 or 3-3-4-3
1H--1S--2N--3C--3H--,3S,ASK 4 card minor suit
1H--1S--2N--3C--3H--3S--,3N,3-3-3-4
1H--1S--2N--3C--3H--3S--,4C,3-3-4-3
1H--1S--2N--3C--,3N,3-4-3-3
1H--1S--2N--3C--,3S,2-3-4-4
1H--1S--2N--,3N,Signoff
1H--1S--,2S,10-12HcP; 4!H + 4!S
1H--1S--2S--,2N,ASK distrib
1H--1S--2S--2N--,3C,4-4-2-3
1H--1S--2S--2N--,3D,4-4-3-2
1H--1S--,3C,10-12HcP; 4!H + 4!C
1H--1S--3C--,3D,ASK distrib
1H--1S--3C--3D--,3H,2-4-3-4
1H--1S--3C--3D--,3S,3-4-2-4
1H--1S--3C--,3N,Signoff
1H--1S--,3D,10-12HcP; 4!H + 4!D
1H--1S--3D--,3H,ASK distrib
1H--1S--3D--3H--,3N,3-4-4-2
1H--1S--3D--3H--,3S,2-4-4-3
1H--1S--3D--,3N,Signoff
1H--1S--,3H,10-12HcP; 2-4-2-5
1H--1S--,3S,10-12HcP; 2-4-5-2
1H--,2C,7-13HcP; 5+!C; 0-3!H
1H--,2D,7-13HcP; 5+!D; 0-3!H
1H--,2H,8-12HcP;4+!H
1H--,2N,4!H; 0-1!S; GF
1H--,2S,7-13HcP; 5+!S
1H--,3C,4!H; 0-1!C; GF
1H--,3D,4!H; 0-1!D; GF
1H--,3H,7-12HcP; 5+!H
1N2C,2D,ASK MAJOR; unlimited
1N2C,2H,7-12HcP; 5+!H
1N2C,2N,12-14HcP; minors
1N2C,2S,7-12HcP; 5+!S
1N2C,3C,ASK MAJOR; GF
1N2C,3D,ASK MAJOR; unlimited
1N2C,3H,7-12HcP; 6+!H
1N2C,3S,7-12HcP; 6+!S
1N2C,4D,ASK MAJOR; unlimited
1N2C,Db,Penalty
1N2C,--,13+HcP; ANY; Relay
1N2C----,2D,8-9HcP; 5+!H
1N2C----,2H,8-9HcP; 5+!S
1N2C----,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N2C----2N--,3C,ASK distrib
1N2C----2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N2C----2N--3C--3D--,3H,ASK distrib
1N2C----2N--3C--3D--3H--,3N,5-2-4-2
1N2C----2N--3C--3D--3H--,3S,5-2-2-4
1N2C----2N--3C--3D--,3N,Signoff
1N2C----2N--3C--,3H,5332 dist
1N2C----2N--3C--3H--,3N,Signoff
1N2C----2N--3C--3H--,3S,2 where?
1N2C----2N--3C--3H--3S--,3N,5-3-3-2
1N2C----2N--3C--3H--3S--,4C,5-3-2-3
1N2C----2N--3C--3H--3S--,4D,5-2-3-3
1N2C----2N--,3N,Signoff
1N2C----,2S,Please read chat#10-12HcP; 5!H. *5!H+4!C  *5!H+4!D  *5332
1N2C----2S--,2N,ASK distrib
1N2C----2S--2N--,3C,5!H+4!C  or  5!H+4!D
1N2C----2S--2N--3C--,3D,ASK distrib
1N2C----2S--2N--3C--3D--,3H,2-5-2-4
1N2C----2S--2N--3C--3D--,3S,2-5-4-2
1N2C----2S--2N--,3D,5332 dist
1N2C----2S--2N--3D--,3H,2 where?
1N2C----2S--2N--3D--3H--,3N,3-5-2-3
1N2C----2S--2N--3D--3H--,3S,3-5-3-2
1N2C----2S--2N--3D--3H--,4C,2-5-3-3
1N2C----2S--,3N,Signoff
1N2C----,3C,10-12HcP; 4-5-2-2
1N2C----,3D,10-12HcP; 5-4-2-2
1N2C----,3H,10-12HcP; 6+!H
1N2C----,3S,10-12HcP; 6+!S
1N2D,2H,7-12HcP; 5+!H
1N2D,2N,12-14HcP; minors
1N2D,2S,7-12HcP; 5+!S
1N2D,3C,7-12HcP; 6+!C
1N2D,3D,ASK MAJOR; GF
1N2D,3H,7-12HcP; 6+!H
1N2D,3S,7-12HcP; 6+!S
1N2D,4D,ASK MAJOR; unlimited
1N2D,Db,Penalty
1N2D,--,13+HcP; ANY; Relay
1N2D----,2H,8-9HcP; 5+!S
1N2D----,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N2D----2N--,3C,ASK distrib
1N2D----2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N2D----2N--3C--3D--,3H,ASK distrib
1N2D----2N--3C--3D--3H--,3N,5-2-4-2
1N2D----2N--3C--3D--3H--,3S,5-2-2-4
1N2D----2N--3C--3D--,3N,Signoff
1N2D----2N--3C--,3H,5332 dist
1N2D----2N--3C--3H--,3N,Signoff
1N2D----2N--3C--3H--,3S,2 where?
1N2D----2N--3C--3H--3S--,3N,5-3-3-2
1N2D----2N--3C--3H--3S--,4C,5-3-2-3
1N2D----2N--3C--3H--3S--,4D,5-2-3-3
1N2D----2N--,3N,Signoff
1N2D----,2S,Please read chat#10-12HcP; 5!H. *5!H+4!C  *5!H+4!D  *5332
1N2D----2S--,2N,ASK distrib
1N2D----2S--2N--,3C,5!H+4!C  or  5!H+4!D
1N2D----2S--2N--3C--,3D,ASK distrib
1N2D----2S--2N--3C--3D--,3H,2-5-2-4
1N2D----2S--2N--3C--3D--,3S,2-5-4-2
1N2D----2S--2N--,3D,5332 dist
1N2D----2S--2N--3D--,3H,2 where?
1N2D----2S--2N--3D--3H--,3N,3-5-2-3
1N2D----2S--2N--3D--3H--,3S,3-5-3-2
1N2D----2S--2N--3D--3H--,4C,2-5-3-3
1N2D----2S--,3N,Signoff
1N2D----,3C,10-12HcP; 4-5-2-2
1N2D----,3D,10-12HcP; 5-4-2-2
1N2D----,3H,10-12HcP; 6+!H
1N2D----,3S,10-12HcP; 6+!S
1N2D----,Db,8-9HcP; 5+!H
1N2D----,--,8-9HcP; 5+!H
1N2H,2N,12-14HcP; minors
1N2H,2S,7-12HcP; 5+!S
1N2H,3C,7-12HcP; 6+!C
1N2H,3D,ASK MAJOR; unlimited
1N2H,3H,ASK MAJOR; GF
1N2H,3S,7-12HcP; 6+!S
1N2H,4D,ASK MAJOR; unlimited
1N2H,Db,Penalty
1N2H,--,13+HcP; ANY; Relay
1N2H----,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N2H----2N--,3C,ASK distrib
1N2H----2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N2H----2N--3C--3D--,3H,ASK distrib
1N2H----2N--3C--3D--3H--,3N,5-2-4-2
1N2H----2N--3C--3D--3H--,3S,5-2-2-4
1N2H----2N--3C--3D--,3N,Signoff
1N2H----2N--3C--,3H,5332 dist
1N2H----2N--3C--3H--,3N,Signoff
1N2H----2N--3C--3H--,3S,2 where?
1N2H----2N--3C--3H--3S--,3N,5-3-3-2
1N2H----2N--3C--3H--3S--,4C,5-3-2-3
1N2H----2N--3C--3H--3S--,4D,5-2-3-3
1N2H----2N--,3N,Signoff
1N2H----,2S,8-9HcP; 5+!S
1N2H----,3C,10-12HcP; 4-5-2-2
1N2H----,3D,10-12HcP; 5-4-2-2
1N2H----,3H,10-12HcP; 6+!H
1N2H----,3S,10-12HcP; 6+!S
1N2H----,Db,8-9HcP; 5+!H
1N2H----,--,8-9HcP; 5+!H
1N2S,2N,12-14HcP; minors
1N2S,3C,7-12HcP; 6+!C
1N2S,3D,ASK MAJOR; unlimited
1N2S,3H,7-12HcP; 6+!H
1N2S,3S,ASK MAJOR; GF
1N2S,4D,ASK MAJOR; unlimited
1N2S,Db,Penalty
1N2S,--,13+HcP; ANY; Relay
1N2S----,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N2S----2N--,3C,ASK distrib
1N2S----2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N2S----2N--3C--3D--,3H,ASK distrib
1N2S----2N--3C--3D--3H--,3N,5-2-4-2
1N2S----2N--3C--3D--3H--,3S,5-2-2-4
1N2S----2N--3C--3D--,3N,Signoff
1N2S----2N--3C--,3H,5332 dist
1N2S----2N--3C--3H--,3N,Signoff
1N2S----2N--3C--3H--,3S,2 where?
1N2S----2N--3C--3H--3S--,3N,5-3-3-2
1N2S----2N--3C--3H--3S--,4C,5-3-2-3
1N2S----2N--3C--3H--3S--,4D,5-2-3-3
1N2S----2N--,3N,Signoff
1N2S----,3C,10-12HcP; 4-5-2-2
1N2S----,3D,10-12HcP; 5-4-2-2
1N2S----,3H,10-12HcP; 6+!H
1N2S----,3S,10-12HcP; 6+!S
1N2S----,Db,8-9HcP; 5+!H
,1N,8-12HcP; A 5card MAJOR. No shortage
1NDb,2C,13+HcP; ANY; Relay
1NDb2C--,2D,8-9HcP; 5+!H
1NDb2C--,2H,8-9HcP; 5+!S
1NDb2C--,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1NDb2C--2N--,3C,ASK distrib
1NDb2C--2N--3C--,3D,5!S+4!C  or  5!S+4!D
1NDb2C--2N--3C--3D--,3H,ASK distrib
1NDb2C--2N--3C--3D--3H--,3N,5-2-4-2
1NDb2C--2N--3C--3D--3H--,3S,5-2-2-4
1NDb2C--2N--3C--3D--,3N,Signoff
1NDb2C--2N--3C--,3H,5332 dist
1NDb2C--2N--3C--3H--,3N,Signoff
1NDb2C--2N--3C--3H--,3S,2 where?
1NDb2C--2N--3C--3H--3S--,3N,5-3-3-2
1NDb2C--2N--3C--3H--3S--,4C,5-3-2-3
1NDb2C--2N--3C--3H--3S--,4D,5-2-3-3
1NDb2C--2N--,3N,Signoff
1NDb2C--,2S,Please read chat#10-12HcP; 5!H. *5!H+4!C  *5!H+4!D  *5332
1NDb2C--2S--,2N,ASK distrib
1NDb2C--2S--2N--,3C,5!H+4!C  or  5!H+4!D
1NDb2C--2S--2N--3C--,3D,ASK distrib
1NDb2C--2S--2N--3C--3D--,3H,2-5-2-4
1NDb2C--2S--2N--3C--3D--,3S,2-5-4-2
1NDb2C--2S--2N--,3D,5332 dist
1NDb2C--2S--2N--3D--,3H,2 where?
1NDb2C--2S--2N--3D--3H--,3N,3-5-2-3
1NDb2C--2S--2N--3D--3H--,3S,3-5-3-2
1NDb2C--2S--2N--3D--3H--,4C,2-5-3-3
1NDb2C--2S--,3N,Signoff
1NDb2C--,3C,10-12HcP; 4-5-2-2
1NDb2C--,3D,10-12HcP; 5-4-2-2
1NDb2C--,3H,10-12HcP; 6+!H
1NDb2C--,3S,10-12HcP; 6+!S
1NDb,2D,ASK MAJOR; unlimited
1NDb,2H,7-12HcP; 5+!H
1NDb,2N,12-14HcP; minors
1NDb,2S,7-12HcP; 5+!S
1NDb,3C,7-12HcP; 6+!C
1NDb,3D,ASK MAJOR; unlimited
1NDb,3H,7-12HcP; 6+!H
1NDb,3S,7-12HcP; 6+!S
1NDb,4D,ASK MAJOR; unlimited
1NDb,--,Please read chat#Trans -> RDBL. *To play  *Long minor. NB! Brown-sticker
1NDb----,Rd,Forced relay
1NDb----Rd--,2C,6+!C
1NDb----Rd--,2D,6+!D
1NDb----Rd--,--,To play
1NDb,Rd,ASK minor fit or 6+card MAJOR
1N--2C2D,2H,8-9HcP; 5+!S
1N--2C2D,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N--2C2D2N--,3C,ASK distrib
1N--2C2D2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N--2C2D2N--3C--3D--,3H,ASK distrib
1N--2C2D2N--3C--3D--3H--,3N,5-2-4-2
1N--2C2D2N--3C--3D--3H--,3S,5-2-2-4
1N--2C2D2N--3C--3D--,3N,Signoff
1N--2C2D2N--3C--,3H,5332 dist
1N--2C2D2N--3C--3H--,3N,Signoff
1N--2C2D2N--3C--3H--,3S,2 where?
1N--2C2D2N--3C--3H--3S--,3N,5-3-3-2
1N--2C2D2N--3C--3H--3S--,4C,5-3-2-3
1N--2C2D2N--3C--3H--3S--,4D,5-2-3-3
1N--2C2D2N--,3N,Signoff
1N--2C2D,2S,Please read chat#10-12HcP; 5!H. *5!H+4!C  *5!H+4!D  *5332
1N--2C2D2S--,2N,ASK distrib
1N--2C2D2S--2N--,3C,5!H+4!C  or  5!H+4!D
1N--2C2D2S--2N--3C--,3D,ASK distrib
1N--2C2D2S--2N--3C--3D--,3H,2-5-2-4
1N--2C2D2S--2N--3C--3D--,3S,2-5-4-2
1N--2C2D2S--2N--,3D,5332 dist
1N--2C2D2S--2N--3D--,3H,2 where?
1N--2C2D2S--2N--3D--3H--,3N,3-5-2-3
1N--2C2D2S--2N--3D--3H--,3S,3-5-3-2
1N--2C2D2S--2N--3D--3H--,4C,2-5-3-3
1N--2C2D2S--,3N,Signoff
1N--2C2D,3C,10-12HcP; 4-5-2-2
1N--2C2D,3D,10-12HcP; 5-4-2-2
1N--2C2D,3H,10-12HcP; 6+!H
1N--2C2D,3S,10-12HcP; 6+!S
1N--2C2D,Db,8-9HcP; 5+!H
1N--2C2H,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N--2C2H2N--,3C,ASK distrib
1N--2C2H2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N--2C2H2N--3C--3D--,3H,ASK distrib
1N--2C2H2N--3C--3D--3H--,3N,5-2-4-2
1N--2C2H2N--3C--3D--3H--,3S,5-2-2-4
1N--2C2H2N--3C--3D--,3N,Signoff
1N--2C2H2N--3C--,3H,5332 dist
1N--2C2H2N--3C--3H--,3N,Signoff
1N--2C2H2N--3C--3H--,3S,2 where?
1N--2C2H2N--3C--3H--3S--,3N,5-3-3-2
1N--2C2H2N--3C--3H--3S--,4C,5-3-2-3
1N--2C2H2N--3C--3H--3S--,4D,5-2-3-3
1N--2C2H2N--,3N,Signoff
1N--2C2H,2S,8-9HcP; 5+!S
1N--2C2H,3C,10-12HcP; 4-5-2-2
1N--2C2H,3D,10-12HcP; 5-4-2-2
1N--2C2H,3H,10-12HcP; 6+!H
1N--2C2H,3S,10-12HcP; 6+!S
1N--2C2H,--,8-9HcP; 5+!H
1N--2C2S,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N--2C2S2N--,3C,ASK distrib
1N--2C2S2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N--2C2S2N--3C--3D--,3H,ASK distrib
1N--2C2S2N--3C--3D--3H--,3N,5-2-4-2
1N--2C2S2N--3C--3D--3H--,3S,5-2-2-4
1N--2C2S2N--3C--3D--,3N,Signoff
1N--2C2S2N--3C--,3H,5332 dist
1N--2C2S2N--3C--3H--,3N,Signoff
1N--2C2S2N--3C--3H--,3S,2 where?
1N--2C2S2N--3C--3H--3S--,3N,5-3-3-2
1N--2C2S2N--3C--3H--3S--,4C,5-3-2-3
1N--2C2S2N--3C--3H--3S--,4D,5-2-3-3
1N--2C2S2N--,3N,Signoff
1N--2C2S,3C,10-12HcP; 4-5-2-2
1N--2C2S,3D,10-12HcP; 5-4-2-2
1N--2C2S,3H,10-12HcP; 6+!H
1N--2C2S,3S,10-12HcP; 6+!S
1N--2C2S,Db,8-9HcP; 5+!S
1N--2C2S,--,8-9HcP; 5+!H
1N--2C3C,Db,minimum
1N--2C3CDb--,3D,Bid your suit
1N--2C3CDb--,3H,Pass/correct
1N--2C3CDb--,3S,Pass/correct
1N--2C3CDb--,4H,Pass/correct
1N--2C3CDb--,4S,Pass/correct
1N--2C3CDbRd,3D,Bid your suit
1N--2C3CDbRd,3H,Pass/correct
1N--2C3CDbRd,3S,Pass/correct
1N--2C3CDbRd,4H,Pass/correct
1N--2C3CDbRd,4S,Pass/correct
1N--2C3C,--,MAXIMUM
1N--2C3C----,3H,Pass/correct
1N--2C3C----,3N,Signoff
1N--2C3C----,3S,Pass/correct
1N--2C3C----,4H,Pass/correct
1N--2C3C----,4S,Pass/correct
1N--2C3C----,Db,Give a transfer
1N--2C3C----Db--,3D,5!H
1N--2C3C----Db--3D--,3H,Signoff
1N--2C3C----Db--3D--,3N,Signoff
1N--2C3C----Db--3D--,3S,!H SLAB 6-12
1N--2C3C----Db--3D--,4H,Signoff
1N--2C3C----Db--,3H,5!S
1N--2C3C----Db--3H--,3N,Signoff
1N--2C3C----Db--3H--,3S,Signoff
1N--2C3C----Db--3H--,4C,!S SLAB 6-12
1N--2C3C----Db--3H--,4S,Signoff
1N--2C3C----Db--,4C,6+!H
1N--2C3C----Db--4C--,4D,!H SLAB 6-12
1N--2C3C----Db--4C--,4H,Signoff
1N--2C3C----Db--,4D,6+!S
1N--2C3C----Db--4D--,4H,!S SLAB 6-12
1N--2C3C----Db--4D--,4S,Signoff
1N--2C3D,Db,minimum
1N--2C3DDb--,3D,Bid your suit
1N--2C3DDb--,3H,Pass/correct
1N--2C3DDb--,3S,Pass/correct
1N--2C3DDb--,4H,Pass/correct
1N--2C3DDb--,4S,Pass/correct
1N--2C3DDbRd,3D,Bid your suit
1N--2C3DDbRd,3H,Pass/correct
1N--2C3DDbRd,3S,Pass/correct
1N--2C3DDbRd,4H,Pass/correct
1N--2C3DDbRd,4S,Pass/correct
1N--2C3D,--,MAXIMUM
1N--2C3D----,3H,Pass/correct
1N--2C3D----,3N,Signoff
1N--2C3D----,3S,Pass/correct
1N--2C3D----,4H,Pass/correct
1N--2C3D----,4S,Pass/correct
1N--2C3D----,Db,ASK distrib
1N--2C3D----Db--,3D,5!H
1N--2C3D----Db--3D--,3H,Signoff
1N--2C3D----Db--3D--,3N,Signoff
1N--2C3D----Db--3D--,3S,!H SLAB 6-12
1N--2C3D----Db--3D--,4H,Signoff
1N--2C3D----Db--,3H,5!H
1N--2C3D----Db--3H--,3N,Signoff
1N--2C3D----Db--3H--,3S,!H SLAB 6-12
1N--2C3D----Db--3H--,4H,Signoff
1N--2C3D----Db--3H--,--,To play
1N--2C3D----Db--,3S,5!S
1N--2C3D----Db--3S--,3N,Signoff
1N--2C3D----Db--3S--,4C,!S SLAB 6-12
1N--2C3D----Db--3S--,4S,Signoff
1N--2C3D----Db--3S--,--,To play
1N--2C3D----Db--,4C,6+!H
1N--2C3D----Db--4C--,4D,!H SLAB 6-12
1N--2C3D----Db--4C--,4H,Signoff
1N--2C3D----Db--,4D,6+!S
1N--2C3D----Db--4D--,4H,!S SLAB 6-12
1N--2C3D----Db--4D--,4S,Signoff
1N--2C3H,Db,minimum
1N--2C3HDb--,3D,Bid your suit
1N--2C3HDb--,3H,Pass/correct
1N--2C3HDb--,3N,Signoff
1N--2C3HDb--,3S,Signoff
1N--2C3HDb--,4S,Signoff
1N--2C3HDbRd,3D,Bid your suit
1N--2C3HDbRd,3H,Pass/correct
1N--2C3HDbRd,3N,Signoff
1N--2C3HDbRd,3S,Signoff
1N--2C3HDbRd,4S,Signoff
1N--2C3H,--,MAXIMUM
1N--2C3H----,3H,Pass/correct
1N--2C3H----,3N,Signoff
1N--2C3H----,3S,Pass/correct
1N--2C3H----,4H,Pass/correct
1N--2C3H----,4S,Pass/correct
1N--2C3H----,Db,ASK distrib
1N--2C3H----Db--,3D,5!H
1N--2C3H----Db--3D--,3H,Signoff
1N--2C3H----Db--3D--,3N,Signoff
1N--2C3H----Db--3D--,3S,!H SLAB 6-12
1N--2C3H----Db--3D--,4H,Signoff
1N--2C3H----Db--,3H,5!H
1N--2C3H----Db--3H--,3N,Signoff
1N--2C3H----Db--3H--,3S,!H SLAB 6-12
1N--2C3H----Db--3H--,4H,Signoff
1N--2C3H----Db--3H--,--,To play
1N--2C3H----Db--,3S,5!S
1N--2C3H----Db--3S--,3N,Signoff
1N--2C3H----Db--3S--,4C,!S SLAB 6-12
1N--2C3H----Db--3S--,4S,Signoff
1N--2C3H----Db--3S--,--,To play
1N--2C3H----Db--,4C,6+!H
1N--2C3H----Db--4C--,4D,!H SLAB 6-12
1N--2C3H----Db--4C--,4H,Signoff
1N--2C3H----Db--,4D,6+!S
1N--2C3H----Db--4D--,4H,!S SLAB 6-12
1N--2C3H----Db--4D--,4S,Signoff
1N--2C3H----Db--,--,5!H
1N--2C3H----DbRd,3S,5!S
1N--2C3H----DbRd3S--,3N,Signoff
1N--2C3H----DbRd3S--,4C,!S SLAB 6-12
1N--2C3H----DbRd3S--,4S,Signoff
1N--2C3H----DbRd3S--,--,To play
1N--2C3H----DbRd,4C,6+!H
1N--2C3H----DbRd4C--,4D,!H SLAB 6-12
1N--2C3H----DbRd4C--,4H,Signoff
1N--2C3H----DbRd,4D,6+!S
1N--2C3H----DbRd4D--,4H,!S SLAB 6-12
1N--2C3H----DbRd4D--,4S,Signoff
1N--2C3H----DbRd,--,5!H
1N--2C3S,Db,minimum
1N--2C3SDb--,3D,Bid your suit
1N--2C3SDb--,3H,Pass/correct
1N--2C3SDb--,3N,Signoff
1N--2C3SDb--,3S,Pass/correct
1N--2C3SDb--,4H,Signoff
1N--2C3SDbRd,3D,Bid your suit
1N--2C3SDbRd,3H,Pass/correct
1N--2C3SDbRd,3N,Signoff
1N--2C3SDbRd,3S,Pass/correct
1N--2C3SDbRd,4H,Signoff
1N--2C3S,--,MAXIMUM
1N--2C3S----,3H,Pass/correct
1N--2C3S----,3N,Signoff
1N--2C3S----,3S,Pass/correct
1N--2C3S----,4H,Pass/correct
1N--2C3S----,4S,Pass/correct
1N--2C3S----,Db,ASK distrib
1N--2C3S----Db--,3D,5!H
1N--2C3S----Db--3D--,3H,Signoff
1N--2C3S----Db--3D--,3N,Signoff
1N--2C3S----Db--3D--,3S,!H SLAB 6-12
1N--2C3S----Db--3D--,4H,Signoff
1N--2C3S----Db--,3H,5!H
1N--2C3S----Db--3H--,3N,Signoff
1N--2C3S----Db--3H--,3S,!H SLAB 6-12
1N--2C3S----Db--3H--,4H,Signoff
1N--2C3S----Db--3H--,--,To play
1N--2C3S----Db--,3N,5!H
1N--2C3S----Db--3N--,4C,!H SLAB 6-12
1N--2C3S----Db--3N--,4H,Signoff
1N--2C3S----Db--3N--,--,To play
1N--2C3S----Db--,3S,5!S
1N--2C3S----Db--3S--,3N,Signoff
1N--2C3S----Db--3S--,4C,!S SLAB 6-12
1N--2C3S----Db--3S--,4S,Signoff
1N--2C3S----Db--3S--,--,To play
1N--2C3S----Db--,4C,6+!H
1N--2C3S----Db--4C--,4D,!H SLAB 6-12
1N--2C3S----Db--4C--,4H,Signoff
1N--2C3S----Db--,4D,6+!S
1N--2C3S----Db--4D--,4H,!S SLAB 6-12
1N--2C3S----Db--4D--,4S,Signoff
1N--2C3S----Db--,--,5!S
1N--2C3S----DbRd,3N,5!H
1N--2C3S----DbRd3N--,4C,!H SLAB 6-12
1N--2C3S----DbRd3N--,4H,Signoff
1N--2C3S----DbRd3N--,--,To play
1N--2C3S----DbRd,4C,6+!H
1N--2C3S----DbRd4C--,4D,!H SLAB 6-12
1N--2C3S----DbRd4C--,4H,Signoff
1N--2C3S----DbRd,4D,6+!S
1N--2C3S----DbRd4D--,4H,!S SLAB 6-12
1N--2C3S----DbRd4D--,4S,Signoff
1N--2C3S----DbRd,--,5!S
1N--,2C,13+HcP; ANY; Relay
1N--2CDb,2D,8-9HcP; 5+!H
1N--2CDb,2H,8-9HcP; 5+!S
1N--2CDb,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N--2CDb2N--,3C,ASK distrib
1N--2CDb2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N--2CDb2N--3C--3D--,3H,ASK distrib
1N--2CDb2N--3C--3D--3H--,3N,5-2-4-2
1N--2CDb2N--3C--3D--3H--,3S,5-2-2-4
1N--2CDb2N--3C--3D--,3N,Signoff
1N--2CDb2N--3C--,3H,5332 dist
1N--2CDb2N--3C--3H--,3N,Signoff
1N--2CDb2N--3C--3H--,3S,2 where?
1N--2CDb2N--3C--3H--3S--,3N,5-3-3-2
1N--2CDb2N--3C--3H--3S--,4C,5-3-2-3
1N--2CDb2N--3C--3H--3S--,4D,5-2-3-3
1N--2CDb2N--,3N,Signoff
1N--2CDb,2S,Please read chat#10-12HcP; 5!H. *5!H+4!C  *5!H+4!D  *5332
1N--2CDb2S--,2N,ASK distrib
1N--2CDb2S--2N--,3C,5!H+4!C  or  5!H+4!D
1N--2CDb2S--2N--3C--,3D,ASK distrib
1N--2CDb2S--2N--3C--3D--,3H,2-5-2-4
1N--2CDb2S--2N--3C--3D--,3S,2-5-4-2
1N--2CDb2S--2N--,3D,5332 dist
1N--2CDb2S--2N--3D--,3H,2 where?
1N--2CDb2S--2N--3D--3H--,3N,3-5-2-3
1N--2CDb2S--2N--3D--3H--,3S,3-5-3-2
1N--2CDb2S--2N--3D--3H--,4C,2-5-3-3
1N--2CDb2S--,3N,Signoff
1N--2CDb,3C,10-12HcP; 4-5-2-2
